CommCode,Total Seps,Campus Code,CampusSeps
S213,10289.4092069982,1332,4391.85905107345
S214,1751.30704808923,1180,713.921509660701
S215,444.525997169659,1180,181.221288665866
S216,286.995657593535,1022,228.478101800281
S217,412.600245032354,1032,157.69649661917
S218,468.679313100838,2020,390.654007559682
S219,361.096388017631,1022,298.697799586676
S220,2507.39838032072,1032,953.642245400123
S221,851.211220089122,1032,323.955822659563
S222,829.364148096258,1335,281.255463883062
S223,160.332079143405,1022,137.044581593238
S224,354.073079320019,2660,67.2532190922523
S225,226.625836569522,1022,180.423165591617
S226,217.22568879641,1660,84.0669592714517
S227,169.341232337194,1660,47.782376800283
S228,3310.43334201037,1022,2767.02766224876
S229,1100.73722347967,1450,515.909189383662
S230,922.542299833542,1191,227.832861841703
S231,2599.23292974206,1450,946.5137081829
S232,3403.31033552448,1335,948.671219631678
S233,441.571793669774,1450,160.844448848415
S234,13.8094996068238,1191,3.42901129508363
S235,644.433349648291,1335,248.870768818495
S236,1936.59213839552,1022,1601.80850254729
S237,2245.44264443943,1335,915.429845834219
S238,3318.93466826725,1460,1253.54855118941
S239,779.253594436108,1071,130.196072356536
S240,5656.97794675196,2120,1830.87471878797
S241,3077.59777741371,1220,1498.71403589737
S242,936.494978915452,1220,455.930628699566
S243,2964.65525222646,1450,1408.19787959287
S244,912.358200033133,1032,359.676125434056
S245,990.812626912186,1191,339.846506150349
S246,1481.42078305131,1660,473.642871255449
S247,95.579067961431,1021,58.0764270434371
S248,571.507394792226,2020,493.579937122832
S249,744.057135472229,2020,623.243267165465
S250,8526.61794930536,1290,3245.18528975434
S251,5175.34775859795,2230,3606.64947610953
S252,311.476794654219,2230,215.690823765891
S253,1208.07915444197,1332,306.906988718626
S254,34.8630610901545,1191,8.90345790134565
S255,4072.01881879589,1220,2016.45493690091
S256,1103.03920803942,1022,912.205894364294
S257,326.790987581773,2060,303.424197085579
S258,768.858542557417,1032,408.656703703836
S259,1431.09903570415,2120,503.889312532628
S260,1040.36580289956,2120,363.786782045376
S261,1627.70497838308,1660,734.492319330968
S262,240.27512254175,1660,108.427832533713
S263,2259.26995003318,1032,1114.38094424484
S264,75.2754200871362,2020,61.094116309839
S265,862.645242927986,1022,686.755130625316
S266,2198.04331116484,1191,753.89001640402
S267,1131.65116180577,1021,681.281821571597
S268,2293.05522098357,1021,801.201909450216
S269,698.931344497427,2060,632.391087083058
S270,2053.93001763865,1335,768.976488638592
S271,317.174922167359,2060,278.542692783567
S272,530.829289254702,2230,237.588159430726
S273,1207.8512181543,1021,337.577605790806
S274,5587.98760647134,1335,1857.98773709193
S275,3607.85412958906,1021,1480.79105977967
S276,4.59014081527506,1335,1.53332263881077
S277,4555.23290460595,1370,1563.72202324089
S278,126.100030975104,1660,65.5616399547391
S279,1728.89635881419,1290,442.978005625293
S280,835.885818529971,1021,551.694116357657
S281,7851.11002845294,1290,2493.57512185568
S282,465.39485503315,2020,372.926090410604
S283,2602.01812866862,1071,934.007922589589
S284,185.780198324721,2020,160.456032804158
